 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 1.0    7.0    5.0    1.0    1.0    1.0    116.0    128.4    2.0    207.0    230.0    3.0    26.0    1.0    294.0    4.0    116.0    2.0    207.0    26.0    128.4    2.0    230.0    294.0    12.4  
 3.0    7.0    5.0    0.0    1.0    0.0    315.0    300.3    4.0    238.0    211.8    3.0    54.0    1.0    114.0    2.0    54.0    1.0    315.0    238.0    114.0    2.0    300.3    211.8    60.0  
 3.0    7.0    12.0    0.0    2.0    1.0    323.0    306.5    4.0    241.0    220.2    3.0    140.0    2.0    67.0    1.0    140.0    2.0    323.0    241.0    67.0    1.0    306.5    220.2    73.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    242.0    225.0    3.0    53.0    25.4    1.0    151.0    2.0    323.0    4.0    242.0    3.0    53.0    151.0    225.0    3.0    25.4    323.0    17.0  
 3.0    7.0    5.0    0.0    1.0    1.0    21.0    35.4    1.0    308.0    330.1    4.0    126.0    2.0    225.0    3.0    126.0    2.0    21.0    308.0    225.0    3.0    35.4    330.1    99.0  
 1.0    7.0    5.0    1.0    1.0    1.0    294.0    308.8    4.0    27.0    49.3    1.0    208.0    3.0    140.0    2.0    294.0    4.0    27.0    208.0    308.8    4.0    49.3    140.0    14.8  
 3.0    7.0    12.0    0.0    2.0    0.0    221.0    238.0    3.0    290.0    316.0    4.0    63.0    1.0    115.0    2.0    63.0    1.0    221.0    290.0    115.0    2.0    238.0    316.0    52.0  
 3.0    7.0    12.0    0.0    2.0    0.0    41.0    24.3    1.0    330.0    304.7    4.0    139.0    2.0    233.0    3.0    139.0    2.0    41.0    330.0    233.0    3.0    24.3    304.7    94.0  
 3.0    7.0    5.0    0.0    1.0    1.0    326.0    309.9    4.0    151.0    125.9    2.0    69.0    1.0    249.0    3.0    69.0    1.0    326.0    151.0    249.0    3.0    309.9    125.9    180.0  
 3.0    7.0    12.0    0.0    2.0    1.0    145.0    125.8    2.0    240.0    215.4    3.0    44.0    1.0    299.0    4.0    44.0    1.0    145.0    240.0    299.0    4.0    125.8    215.4    105.0  
 3.0    7.0    12.0    0.0    2.0    0.0    111.0    122.9    2.0    35.0    59.4    1.0    332.0    4.0    205.0    3.0    332.0    4.0    111.0    35.0    205.0    3.0    122.9    59.4    127.0  
 1.0    7.0    5.0    1.0    1.0    1.0    213.0    227.8    3.0    295.0    318.9    4.0    131.0    2.0    54.0    1.0    213.0    3.0    295.0    131.0    227.8    3.0    318.9    54.0    14.8  
 1.0    7.0    12.0    1.0    2.0    1.0    296.0    313.9    4.0    42.0    62.2    1.0    137.0    2.0    240.0    3.0    296.0    4.0    42.0    137.0    313.9    4.0    62.2    240.0    17.9  
 1.0    7.0    12.0    -1.0    2.0    0.0    236.0    220.1    3.0    144.0    115.9    2.0    48.0    1.0    311.0    4.0    236.0    3.0    144.0    48.0    220.1    3.0    115.9    311.0    15.9  
 3.0    7.0    5.0    0.0    1.0    1.0    217.0    233.8    3.0    292.0    314.8    4.0    137.0    2.0    22.0    1.0    137.0    2.0    217.0    292.0    22.0    1.0    233.8    314.8    115.0  
 1.0    7.0    5.0    1.0    1.0    0.0    47.0    57.3    1.0    114.0    134.7    2.0    227.0    3.0    319.0    4.0    47.0    1.0    114.0    227.0    57.3    1.0    134.7    319.0    10.3  
 3.0    7.0    12.0    0.0    2.0    0.0    304.0    292.0    4.0    136.0    114.3    2.0    209.0    3.0    47.0    1.0    209.0    3.0    304.0    136.0    47.0    1.0    292.0    114.3    162.0  
 3.0    7.0    12.0    0.0    2.0    1.0    307.0    318.5    4.0    24.0    44.2    1.0    159.0    2.0    222.0    3.0    159.0    2.0    307.0    24.0    222.0    3.0    318.5    44.2    63.0  
 3.0    7.0    12.0    0.0    2.0    1.0    305.0    291.1    4.0    140.0    112.5    2.0    221.0    3.0    26.0    1.0    221.0    3.0    305.0    140.0    26.0    1.0    291.1    112.5    165.0  
 1.0    7.0    5.0    1.0    1.0    0.0    218.0    230.2    3.0    116.0    144.9    2.0    53.0    1.0    314.0    4.0    218.0    3.0    116.0    53.0    230.2    3.0    144.9    314.0    12.2  
 1.0    7.0    5.0    1.0    1.0    1.0    115.0    129.3    2.0    304.0    328.3    4.0    37.0    1.0    204.0    3.0    115.0    2.0    304.0    37.0    129.3    2.0    328.3    204.0    14.3  
 3.0    7.0    12.0    0.0    2.0    0.0    30.0    45.2    1.0    220.0    244.4    3.0    318.0    4.0    134.0    2.0    318.0    4.0    30.0    220.0    134.0    2.0    45.2    244.4    176.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    63.0    49.3    1.0    324.0    296.6    4.0    206.0    3.0    119.0    2.0    63.0    1.0    324.0    206.0    49.3    1.0    296.6    119.0    13.7  
 3.0    7.0    12.0    0.0    2.0    0.0    142.0    159.5    2.0    304.0    324.3    4.0    239.0    3.0    28.0    1.0    239.0    3.0    142.0    304.0    28.0    1.0    159.5    324.3    149.0  
 1.0    7.0    12.0    1.0    2.0    0.0    207.0    225.8    3.0    30.0    54.8    1.0    112.0    2.0    311.0    4.0    207.0    3.0    30.0    112.0    225.8    3.0    54.8    311.0    18.8  
 1.0    7.0    12.0    1.0    2.0    0.0    231.0    249.2    3.0    296.0    324.6    4.0    134.0    2.0    28.0    1.0    231.0    3.0    296.0    134.0    249.2    3.0    324.6    28.0    18.2  
